participant,language,word,translation,knowledge,confidence,response_type,comments
5cffe99...,Spanish,gorro,ugly,FALSE,1,wrong,
5cffe99...,Spanish,gusano,goose,FALSE,1,wrong,
5cffe99...,Spanish,hormiga,happy,FALSE,1,wrong,
5cffe99...,Spanish,jirafa,boss,FALSE,1,wrong,
5cffe99...,Spanish,loro,last,FALSE,1,wrong,
5cffe99...,Spanish,manzana,boy,FALSE,1,wrong,
5cffe99...,Spanish,mariposa,idiot,FALSE,1,wrong,
5cffe99...,Spanish,martillo,mardy,FALSE,1,wrong,
5cffe99...,Spanish,muneca,money,FALSE,1,wrong,
5cffe99...,Spanish,osito,loser,FALSE,1,wrong,
5cffe99...,Spanish,oveja,glasses,FALSE,1,wrong,
5cffe99...,Spanish,pajaro,pig,FALSE,1,wrong,
5cffe99...,Spanish,panal,panel,FALSE,1,wrong,
5cffe99...,Spanish,pato,dog,FALSE,1,wrong,
5cffe99...,Spanish,pez,pig,FALSE,1,wrong,
5cffe99...,Spanish,platano,platinum,FALSE,1,wrong,
5cffe99...,Spanish,puerta,from,FALSE,1,wrong,
5cffe99...,Spanish,tenedor,explorer,FALSE,1,wrong,
5cffe99...,Spanish,tijeras,chips,FALSE,1,wrong,
5cffe99...,Spanish,ventana,guitar,FALSE,1,wrong,
5cffe99...,Spanish,zanahoria,radio,FALSE,1,wrong,
5cffe99...,Spanish,boca,lots,FALSE,2,wrong,
5cffe99...,Spanish,bol,drink,FALSE,2,wrong,
5cffe99...,Spanish,biberon,car,FALSE,2,wrong,
5cffe99...,Spanish,boli,bowling,FALSE,2,wrong,
5cffe99...,Spanish,botella,potato,FALSE,2,wrong,
5cffe99...,Spanish,burro,small,FALSE,2,wrong,
5cffe99...,Spanish,caballo,car,FALSE,2,wrong,
5cffe99...,Spanish,caja,vehicle,FALSE,2,wrong,
5cffe99...,Spanish,cepillo,tiny,FALSE,2,wrong,
5cffe99...,Spanish,cerdo,thinking,FALSE,2,wrong,
5cffe99...,Spanish,cielo,silence,FALSE,2,wrong,
5cffe99...,Spanish,coche,car,FALSE,2,correct,
5cffe99...,Spanish,globo,global,FALSE,2,wrong,
5cffe99...,Spanish,lapiz,rabbit,FALSE,2,wrong,
5cffe99...,Spanish,leche,light,FALSE,2,wrong,
5cffe99...,Spanish,libro,lion,FALSE,2,wrong,
5cffe99...,Spanish,mesa,house,FALSE,2,wrong,
5cffe99...,Spanish,nariz,orange,FALSE,2,wrong,
