"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5e60db5...","bol","bowl",true,"correct","Valid",true,true
"spa-ENG","5e64212...","bol","ball",false,"false_friend","Insufficient trials",true,false
"spa-ENG","5e6571b...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e71e92...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e788a0...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e84efb...","bol","bull",false,"wrong","Valid",true,true
"spa-ENG","5e8f390...","bol","ball",false,"false_friend","Insufficient trials",true,false
"spa-ENG","5e95bef...","bol","bowl",true,"correct","Valid",true,true
"spa-ENG","5e96292...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e9b959...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5e9df7f...","bol",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5eaeeb1...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5eb2d2d...","bol","ball",false,"false_friend","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","bol","ball",false,"false_friend","Insufficient trials",true,false
"spa-ENG","5eb450d...","bol","bowl",true,"correct",,true,
"spa-ENG","5eb54aa...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5eb9b01...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5eb9e95...","bol","ball",false,"false_friend","Insufficient trials",true,false
"spa-ENG","5ebef0e...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5ec27b1...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5ec7e25...","bol","football",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","bol","ball",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","bol","bowl",true,"correct","Valid",true,true
"spa-ENG","5ee0c7f...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5ee7665...","bol","ball",false,"false_friend","Valid",true,true
"spa-ENG","5b1ec77...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","boli","monkey",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","boli","bolli",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","boli","trolley",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","boli","flower",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","boli","ball",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","boli","bowl",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","boli","bally",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","boli","dance",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","boli","volley",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","boli","bali",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","boli","bully",false,"wrong","Valid",true,true
"spa-ENG","5e95bef...","boli","volleyball",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","boli","bowling",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","boli","bowling",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","boli",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","boli","bolognese",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","boli","bully",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","boli","poorly",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb450d...","boli","bowling",false,"wrong",,true,
"spa-ENG","5eb54aa...","boli","bali",false,"wrong","Valid",true,true
"spa-ENG","5eb9b01...","boli","umbrella",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","boli","burro",false,"wrong","Insufficient trials",true,false
"spa-ENG","5ebef0e...","boli","ball",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","boli","baller",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","boli","balls",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","boli","happy",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","boli","bowl",false,"wrong","Valid",true,true
